ProductID,Brand,ProductName,ProductName_Normalised,AUSTL,DosageForm,PackSize,AdultDose,ChildDose,Directions,Indications_Summary,Cautions_Summary,Contraindications_Summary,Interactions_Summary,PregnancyBreastfeeding_Summary,EvidenceNotes,ClinicalUseTags,AvoidIfTags,MedicineInteractionFlags,CounsellingPointSummary,SourceFile_Primary,SourcePage,SourceSection,ExtractionConfidence,ReviewStatus,Notes
HOG-0001,Herbs of Gold,Acetyl L-Carnitine,acetyl l carnitine,,capsule,60 / 120 capsules,"Take 2 capsules, once or twice daily, with food, or as directed by your health professional.",,"Adults - Take 2 capsules, once or twice daily, with food, or as directed by your health professional.","High strength
Fat metabolism
Acetylated form

High strength
Fat metabolism
Acetylated form","Not recommended in pregnancy due to a lack of safety data.
Caution in individuals with chronic liver disease or epilepsy.

Not recommended in pregnancy due to a lack of safety data.
Caution in individuals with chronic liver disease or epilepsy.",,"Caution with anticoagulants/antiplatelets – L-carnitine may theoretically potentiate drug effects and increase the risk of bleeding. Monitor.
Caution with levothyroxine – L-carnitine may theoretically decrease effectiveness of levothyroxine. Monitor thyroid function.

Caution with anticoagulants/antiplatelets – L-carnitine may theoretically potentiate drug effects and increase the risk of bleeding. Monitor.
Caution with levothyroxine – L-carnitine may theoretically decrease effectiveness of levo","Not recommended in pregnancy due to a lack of safety data.
Caution in individuals with chronic liver disease or epilepsy.

Not recommended in pregnancy due to a lack of safety data.
Caution in individuals with chronic liver disease or epilepsy.",~2 reference markers in DOCX text,energy_support,"pregnancy_review_required, liver_impairment_caution, seizure_disorder_review_required",,"Adult dose: Take 2 capsules, once or twice daily, with food, or as directed by your health professional. | Key ingredients: Acetyl levocarnitine hydrochlo | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,1,"Technical Information, Directions, Cautions",High,Unreviewed,
HOG-0002,Herbs of Gold,Activated B Complex,activated b complex,,capsule,30 / 60 capsules,"Adults and children over 12 years - Take 1 capsule daily, with food, or as directed by your health professional.",,"Adults and children over 12 years - Take 1 capsule daily, with food, or as directed by your health professional.","Activated B2, B6 & B12
Activated folate (Quatrefolic®)
Supports energy production

Activated B2, B6 & B12
Activated folate (Quatrefolic®)
Supports energy production","B vitamins are stimulatory in nature. To avoid any sleep interferance, avoid taking before bed.
Taking at night may result in more vivid dreams (vitamin B6).","B vitamins are stimulatory in nature. To avoid any sleep interferance, avoid taking before bed.
Taking at night may result in more vivid dreams (vitamin B6).","Caution with cholestyramine and colestipol (hypolipidaemic agents) | may decrease the absorption of vitamin B3 and folate. Separate dose by at least 4-6 hours.
Caution with phenobarbital and phenytoin (anticonvulsants) - high doses of vitamin B6 or folate can decrease their efficacy. Monitor.
Caution with L-Dopa - vitamin B6 increases the peripheral metabolism of levodopa and may lower levodopa levels for CNS penetration, resulting in reduced levodopa effects. The effect of pyridoxine is prevent",,~1 reference markers in DOCX text,"calcium_support, bone_health, b12_support, energy_support, nervous_system_support, joint_health (review)","tetracycline_antibiotic, quinolone_antibiotic, bisphosphonate, levothyroxine, renal_impairment_caution, warfarin, anticoagulant_review_required, shellfish_allergy_caution","anticoagulant, bisphosphonate, levothyroxine, quinolone_antibiotic, tetracycline_antibiotic, warfarin","Adult dose: Adults and children over 12 years - Take 1 capsule daily, with food, or as directed by your health professional. | Key ingredients: Thiamine hydrochloride, Riboflavin sodium phosphate, Nicotinamide | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,3,"Technical Information, Directions, Cautions",High,Unreviewed,
HOG-0003,Herbs of Gold,Activated B12 Spray,activated b12 spray,,spray,,"Shake well before use.
Adults and children over 12 years – Spray once or twice under the tongue daily, or as directed by your health professional.",,"Shake well before use.
Adults and children over 12 years – Spray once or twice under the tongue daily, or as directed by your health professional.","High strength
Active B12 ready for use in the body
Delicious mixed berry flavour
Nervous system health
Prevents dietary B12 deficiency
Supports energy production
Cardiovascular system health
Blood health
Cognitive function & brain health
Naturally sweetened with Stevia
Convenient & efficient mode of delivery
Alternative to tablets

High strength
Active B12 ready for use in the body
Delicious mixed berry flavour
Nervous system health
Prevents dietary B12 deficiency
Supports energy production
Card","None noted at the recommended dose.

None noted at the recommended dose.",,"None noted at the recommended dose.
Several medications can decrease the absorption of vitamin B12 or increase the risk of deficiency, such as acid-suppressing
medications (PPIs e.g. omeprazole and histamine2 (H2)-receptor antagonists), metformin (hypoglycaemic), oral contraceptives, neomycin (antibiotic) and colchicine (anti-gout).

None noted at the recommended dose.
Several medications can decrease the absorption of vitamin B12 or increase the risk of deficiency, such as acid-suppressing
medi",,~2 reference markers in DOCX text,,,,"Adult dose: Shake well before use.
Adults and children over 12 years – Spray once or twice under the tongue daily, or as directed by | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,6,"Technical Information, Directions, Cautions",Medium,Unreviewed,
HOG-0004,Herbs of Gold,Activated Folate 500,activated folate 500,,capsule,60 capsules,"Adults and children over 12 years - Take 1 capsule daily, with food, or as directed by your health professional.",,"Adults and children over 12 years - Take 1 capsule daily, with food, or as directed by your health professional.","Methylfolate (5-MTHF)
Active form of folic acid
With Quatrefolic®

Methylfolate (5-MTHF)
Active form of folic acid
With Quatrefolic®",,,,,~0 reference markers in DOCX text,"folate_support, pregnancy_support, joint_health (review)","warfarin, anticoagulant_review_required, shellfish_allergy_caution","anticoagulant, warfarin","Adult dose: Adults and children over 12 years - Take 1 capsule daily, with food, or as directed by your health professional. | Key ingredients: Levomefolic glucosamine (Quatr",herbsofgold_technical_manual.pdf,8,"Technical Information, Directions, Cautions",High,Unreviewed,
HOG-0005,Herbs of Gold,Activated Sublingual B12,activated sublingual b12,,tablet,,"Adults and children over 12 years – Dissolve 1 tablet under the tongue, once or twice daily, or as directed by your health professional.",,"Adults and children over 12 years – Dissolve 1 tablet under the tongue, once or twice daily, or as directed by your health professional.","Nervous system health
Dissolves under the tongue
Active B12 ready for use in the body

Nervous system health
Dissolves under the tongue
Active B12 ready for use in the body","None noted at the recommended dose.

None noted at the recommended dose.",,"None noted at the recommended dose.
Several medications can decrease the absorption of vitamin B12 or increase the risk of deficiency, such as acid-suppressing medications (PPIs e.g. omeprazole and histamine2 (H2)-receptor antagonists), metformin (hypoglycaemic), oral contraceptives, neomycin (antibiotic) and colchicine (anti-gout).

None noted at the recommended dose.
Several medications can decrease the absorption of vitamin B12 or increase the risk of deficiency, such as acid-suppressing medi",,~2 reference markers in DOCX text,,,,"Adult dose: Adults and children over 12 years – Dissolve 1 tablet under the tongue, once or twice daily, or as directed by your heal | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,10,"Technical Information, Directions, Cautions",Medium,Unreviewed,
HOG-0006,Herbs of Gold,Alpha Lipoic 300,alpha lipoic 300,,capsule,60 / 120 capsules,"Adults and children over 12 years - Take 1 capsule, once or twice daily, before food, or as directed by your health professional.",,"Adults and children over 12 years - Take 1 capsule, once or twice daily, before food, or as directed by your health professional.","High strength
Antioxidant recycler",Caution using high doses or long-term during pregnancy due to a lack of safety data. Alpha Lipoic acid has been used safely during pregnancy at doses up to 600mg daily for up to 4 weeks.,,"Caution with hypoglycaemic medication - alpha Lipoic acid may have an additive effect. Monitor blood sugar levels.
Alpha Lipoic acid has metal chelating activity - separate dose from copper, zinc and manganese by 3 hours.",Caution using high doses or long-term during pregnancy due to a lack of safety data. Alpha Lipoic acid has been used safely during pregnancy at doses up to 600mg daily for up to 4 weeks.,~0 reference markers in DOCX text,"antioxidant_support, blood_sugar_support (review)","antidiabetic, pregnancy_review_required",antidiabetic,"Adult dose: Adults and children over 12 years - Take 1 capsule, once or twice daily, before food, or as directed by your health prof | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,12,"Technical Information, Directions, Cautions",Medium,Unreviewed,
HOG-0007,Herbs of Gold,Astra Recharge,astra recharge,,tablet,30 / 60 tablets,"Take 1 tablet, twice daily, with food, or as directed by your health professional.",,"Adults – Take 1 tablet, twice daily, with food, or as directed by your health professional.","High-strength Astragalus
Comprehensive herbal formula plus Reishi

High-strength Astragalus
Comprehensive herbal formula plus Reishi","Contraindicated during pregnancy and breastfeeding as specific safety data is lacking.
Astragalus is not recommended for use during the acute stage of an infection.

Contraindicated during pregnancy and breastfeeding as specific safety data is lacking.
Astragalus is not recommended for use during the acute stage of an infection.",,"Contraindicated with sirolimus - Schisandra increases concentrations in the blood which increases the risk of adverse effects.
Caution with immunosuppressant medication given the immune stimulating nature of the formula.
Caution with drugs metabolised by the CYP3A4 enzyme - Schisandra may potentiate the effects. Monitor.
Caution with midazolam (benzodiazepine) - Schisandra increases the amount of drug in the body, increasing the risk of side effects.
Caution with heart or blood pressure medicati","Contraindicated during pregnancy and breastfeeding as specific safety data is lacking.
Astragalus is not recommended for use during the acute stage of an infection.

Contraindicated during pregnancy and breastfeeding as specific safety data is lacking.
Astragalus is not recommended for use during the acute stage of an infection.",~8 reference markers in DOCX text,,"pregnancy_review_required, breastfeeding_review_required",,"Adult dose: Take 1 tablet, twice daily, with food, or as directed by your health professional. | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,13,"Technical Information, Directions, Cautions",Medium,Unreviewed,
HOG-0008,Herbs of Gold,B Sustained Release,b sustained release,,tablet,60 / 120 tablets,"Take 1 tablet daily, with food, or as directed by your health professional.",,"Adults - Take 1 tablet daily, with food, or as directed by your health professional.","High strength
Modified release over 8 hours
Supports energy production

High strength
Modified release over 8 hours
Supports energy production",,,,,~0 reference markers in DOCX text,"calcium_support, bone_health, b12_support, energy_support, nervous_system_support, folate_support, pregnancy_support, immune_support, antioxidant_support, skin_health, hair_nail_support","tetracycline_antibiotic, quinolone_antibiotic, bisphosphonate, levothyroxine, renal_impairment_caution","bisphosphonate, levothyroxine, quinolone_antibiotic, tetracycline_antibiotic","Adult dose: Take 1 tablet daily, with food, or as directed by your health professional. | Key ingredients: Thiamine hydrochloride (vitami, Riboflavin (vitamin B2), Nicotinamide",herbsofgold_technical_manual.pdf,15,"Technical Information, Directions, Cautions",High,Unreviewed,
HOG-0009,Herbs of Gold,Berberine ImmunoPlex,berberine immunoplex,,tablet,30 tablets,"Adults and children over 12 years - Take 1 tablet, twice daily, with food, or as directed by your health professional.",,"Adults and children over 12 years - Take 1 tablet, twice daily, with food, or as directed by your health professional.","High strength
Liver & digestive system health

High strength
Liver & digestive system health",,,,,~4 reference markers in DOCX text,blood_sugar_support (review),antidiabetic,antidiabetic,"Adult dose: Adults and children over 12 years - Take 1 tablet, twice daily, with food, or as directed by your health professional. | Key ingredients: Phellodendron amurense (Phello, Berberis vulgaris (Barberry) s, TOTAL BERBERINE",herbsofgold_technical_manual.pdf,17,"Technical Information, Directions, Cautions",High,Unreviewed,
HOG-0010,Herbs of Gold,Bergamot Cholesterol Care,bergamot cholesterol care,,tablet,60 tablets,"Take 1 tablet, twice daily, before main meals, or as directed by your health professional.",,"Adults - Take 1 tablet, twice daily, before main meals, or as directed by your health professional.","Bergamot extract 500mg
With Globe artichoke

Bergamot extract 500mg
With Globe artichoke","Not recommended in pregnancy or breastfeeding due to a lack of safety data.
Contraindicated with bile duct obstruction.
Caution in individuals with severe hepatocellular disease, septic cholycystitis, intestinal spasm or ileus, or unconjugated hyperbilirubinaemia.
Contraindicated in individuals allergic to Asteraceae/Compositae (Daisy) family.

Not recommended in pregnancy or breastfeeding due to a lack of safety data.
Contraindicated with bile duct obstruction.
Caution in individuals with sever",,"Caution with cholesterol-lowering medication – may have additive effects.
Caution with hypoglycaemic medication – may have additive effects.
Caution with colchicine (used in Gout) – Bergamot has been found to cause a small decrease in blood concentrations of the drug.
Caution with dextromethorphan (decongestant/antitussive) – Bergamot may increase drug absorption, which may increase the risk of side effects.
Janda, E., Lascala, A., Martino, C., Ragusa, S., Nucera, S., Walker, R., ... & Mollace, ","Not recommended in pregnancy or breastfeeding due to a lack of safety data.
Contraindicated with bile duct obstruction.
Caution in individuals with severe hepatocellular disease, septic cholycystitis, intestinal spasm or ileus, or unconjugated hyperbilirubinaemia.
Contraindicated in individuals allergic to Asteraceae/Compositae (Daisy) family.

Not recommended in pregnancy or breastfeeding due to a lack of safety data.
Contraindicated with bile duct obstruction.
Caution in individuals with severe hepatocellular disease, septic cholycystitis, intestinal spasm or ileus, or unconjugated hyperbilirubinaemia.
Contraindicated in individuals allergic to Asteraceae/Compositae (Daisy) family.",~4 reference markers in DOCX text,,"pregnancy_review_required, breastfeeding_review_required",,"Adult dose: Take 1 tablet, twice daily, before main meals, or as directed by your health professional. | Cautions: 1 flagged",herbsofgold_technical_manual.pdf,19,"Technical Information, Directions, Cautions",Medium,Unreviewed,
